Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Їжак,Климент,Іванович,Чоловік,1963-11-08,Електромонтажник,місто Хмільник,"вулиця Геологічна, буд. 4, Алмазна, 97463",461-95-44,odarka98@example.com
Нестайко,Тереза,Георгіївна,Жінка,2004-02-08,Перекладач,місто Семенівка,"провулок Студентський 3-й, буд. 3 кв. 4, Попасна, 14026",045 663 63 92,derhachklavdiia@example.com
Андрусенко,Мілена,Максимівна,Жінка,1976-08-04,Бібліограф,місто Берестечко,"проспект Леваневського тупик, буд. 8 кв. 6, Середина-Буда, 79759",+380 27 644-13-03,prokhir50@example.net
Доценко,Ірена,Євгенівна,Жінка,1952-01-20,Випробувач,село Алчевськ,"узвіз Моторна, буд. 13 кв. 51, Біляївка, 85225",+380 (61) 341-09-50,ishchenkoorysia@example.com
Кабалюк,Орест,Георгійович,Чоловік,2005-11-25,Кінокритик,село Бобринець,"набережна 40-річчя оборони Одеси, буд. 2 кв. 6, Бахчисарай, 55369",+380 18 135-08-68,giakovenko@example.com
Євтушок,Дарина,Василівна,Жінка,1960-06-02,Промисловець,хутір Мирноград,"сквер Спартаківський, буд. 90, Шепетівка, 76724",+380 60 524 28 43,nestaikolukian@example.com
Килимник,Спас,Андрійович,Чоловік,1993-10-15,Головний меркшейдер,селище Балаклія,"площа Державіна, буд. 38, Новий Буг, 60856",626 68 35,briaboshapka@example.com
Козак,Геннадій,Романович,Чоловік,2004-04-30,Детектив,хутір Шпола,"площа Достоєвського, буд. 9 кв. 9, Рені, 36852",+380 (79) 996-99-96,ztsarenko@example.net
Гаєвська,Олег,Дмитрович,Чоловік,2003-11-15,Публіцист,місто Дубляни,"сквер Сєрогодського, буд. 4, Тальне, 09321",+380 81 211-65-05,wudovenko@example.net
Алексюк,Геннадій,Петрович,Чоловік,1952-04-19,Няня,село Апостолове,"узвіз Іспанська, буд. 265, Енергодар, 41369",+380 70 966-10-02,liza67@example.net
Баранник,Григорій,Петрович,Чоловік,1946-05-19,Льотчик,місто Вугледар,"сквер Волзький, буд. 49, Конотоп, 25812",+380 40 908-63-55,eduard10@example.org
Чумак,Юстим,Петрович,Чоловік,1974-02-28,Гірник,селище Павлоград,"сквер Амурський 2-й, буд. 1, Ковель, 84693",+380 51 084-59-71,shcherbansviatoslava@example.com
Гайда,Анастасія,Романівна,Жінка,1971-10-02,Кіноактор,селище Рубіжне,"провулок Цегляна, буд. 053, Чортків, 89557",013 185-15-69,datsenkovalentyna@example.org
Андріїшина,Леон,Тарасович,Чоловік,2004-02-05,Філолог,хутір Баштанка,"парк Тимірязєва 3-й, буд. 0 кв. 6, Кодима, 13034",+380 84 561-32-07,adankiv@example.com
Дробʼязко,Євген,Павлович,Чоловік,1965-07-08,Футболіст,хутір Червоносів,"парк Бориса Літвака, буд. 0 кв. 99, Красногорівка, 75665",+380 (96) 534-39-45,jhavryliv@example.com
Вакуленко,Єлисей,Георгійович,Чоловік,2002-07-25,Конструктор,хутір Носівка,"узвіз Цебриківська, буд. 87, Голубівка, 10361",+380 01 304-35-75,wrebryk@example.net
Ярош,Володимир,Георгійович,Чоловік,1968-10-29,Няня,хутір Броди,"парк Ялинковий, буд. 394 кв. 21, Жданівка, 64546",030 348 70 48,nikoliukviktoriia@example.com
Юхименко,Єлисавета,Георгіївна,Жінка,1949-06-22,Ветеринар,хутір Теребовля,"шосе Лінія 35-та, буд. 381, Березне, 83843",+380 59 414 02 75,iakovenkostanislav@example.net
Вдовиченко,Лукʼян,Миколайович,Чоловік,1991-06-16,Шериф,місто Новодністровськ,"узвіз Український 1-й, буд. 438 кв. 54, Хуст, 93730",+380 (65) 634-55-42,korbutheorhii@example.com
Затовканюк,Гордій,Степанович,Чоловік,1989-07-26,Футболіст,хутір Буча,"узвіз Іванівський переїзд, буд. 948 кв. 003, Житомир, 51357",832-06-92,nadiia68@example.com
Гук,Аніта,Олегівна,Жінка,1964-09-06,Менеджер,хутір Кобеляки,"набережна 3-тя Суворовська, буд. 458 кв. 1, Приморськ (Україна), 29881",+380 07 575-67-16,opanasmatviienko@example.com
Слюсар,Анжела,Романівна,Жінка,1949-01-10,Кушнір,хутір Хирів,"узвіз Пугачова, буд. 913, Дніпро , 04169",+380 94 388-96-15,mykhailo03@example.com
Копитко,Олекса,Степанович,Чоловік,1980-11-22,Астроном,селище Мостиська,"провулок Желябова, буд. 258 кв. 12, Покров, 50330",+380 85 671-45-32,dpylypenko@example.org
Гриценко,Панас,Степанович,Чоловік,1962-08-29,Ді-джей,селище Охтирка,"набережна Магістральна, буд. 676, Приморськ (Україна), 70433",+380 93 161-83-92,mskopenko@example.org
Усик,Соломон,Володимирович,Чоловік,1992-08-05,Електромонтер,селище Козятин,"сквер 6-та Лінія Марії Демченко, буд. 9 кв. 116, Благовіщенське, 58086",060 790 12 08,kkovpak@example.org
Дашенко,Богдан,Дмитрович,Чоловік,1994-07-27,Мірошник,село Жидачів,"проспект Аеропортівський 4-й, буд. 76, Сторожинець, 13739",+380 01 735 61 72,mykhailyna17@example.net
Закусило,Юстим,Тарасович,Чоловік,1986-04-12,Кінокритик,селище Тернівка ,"набережна Чубаївський, буд. 336 кв. 06, Кадіївка, 53504",+380 45 001-36-63,ikonoplia@example.com
Шаблій,Алевтин,Борисович,Чоловік,1980-02-25,Педагог,село Лозова ,"вулиця Долинська, буд. 18, Гола Пристань, 41954",+380 02 526 51 02,liudmylafartushniak@example.com
Штокало,Гордій,Сергійович,Чоловік,1970-10-12,Кінолог,місто Петрово-Красносілля,"проспект 11-та ст. Великого Фонтану пляж, буд. 0 кв. 24, Буринь, 72108",+380 56 089-31-14,rudkoanzhela@example.org
Дзюба,Єфрем,Миколайович,Чоловік,1958-10-10,Різноробочий,хутір Білицьке,"сквер Розумовський 2-й, буд. 8 кв. 0, Валки , 87454",051 356-78-10,olenaholyk@example.org
Усик,Костянтин,Борисович,Чоловік,1949-04-17,Правник,місто Городок,"вулиця Космонавтів, буд. 79 кв. 2, Маріуполь, 55638",034 525-02-27,iryna13@example.org
Цимбал,Марʼяна,Романівна,Жінка,1969-11-10,Нотаріус,село Лебедин,"проспект Кримський, буд. 723, Щолкіне, 29071",+380 15 814-71-62,uvashchenko-zakharchenko@example.org
Жайворон,Тетяна,Іванівна,Жінка,1941-09-24,Локсмайстер,селище Червоносів,"вулиця Прибережний, буд. 043 кв. 71, Ірпінь, 25102",090 187-45-67,avrelii96@example.net
Іващенко,Ярослава,Георгіївна,Жінка,1983-01-24,Редактор,село Малин,"узвіз Пересипський міст, буд. 5, Помічна, 30742",+380 92 316 34 51,qievdokymenko@example.net
Єрьоменко,Зорян,Борисович,Чоловік,2007-04-17,Краєзнавець,місто Хрустальний,"вулиця Кренкеля, буд. 3, Кипуче, 55378",+380 02 057-15-78,xzabashta@example.net
Єрмоленко,Семен,Дмитрович,Чоловік,1953-02-24,Бібліограф,хутір Донецьк,"парк Нова, буд. 429, Хотин, 08636",033 139-04-09,yhaivoronskyi@example.org
Бараник,Юхим,Сергійович,Чоловік,2003-07-02,Письменник,хутір Золочів,"проспект Івана Микитенка, буд. 750 кв. 38, Тернівка , 26393",+380 63 503 06 87,usaienko@example.net
Рудик,Георгій,Сергійович,Чоловік,1990-10-17,Сантехнік,село Горішні Плавні,"набережна Сільськогосподарський, буд. 4 кв. 06, Дніпрорудне, 40818",+380 66 932-69-84,nosachenkovolodymyr@example.net
Ященко,Макар,Андрійович,Чоловік,1966-12-05,М'ясник,селище Семенівка,"проспект Літературна, буд. 45 кв. 4, Новомиргород, 80106",+380 14 523-53-44,varvara89@example.org
Гаєвська,Григорій,Степанович,Чоловік,1971-06-02,Паблік рилейшнз,селище Чернігів,"шосе Західний 1-й, буд. 263 кв. 1, Добромиль, 48844",380 00 24,iefremshcherban@example.com
Носенко,Сергій,Іванович,Чоловік,1977-05-06,Бібліотекар,хутір Радомишль,"узвіз Флотський 4-й, буд. 505 кв. 7, Кам'янка-Дніпровська, 48267",080 812-53-59,kamilla52@example.com
Акименко,Данна,Олегівна,Жінка,1970-08-06,Математик,селище Алушта,"парк Ямчитського, буд. 72, Керч, 02666",+380 55 859-23-36,dmytrolesyk@example.org
Даниленко,Азар,Дмитрович,Чоловік,1966-09-12,Живописець,селище Шаргород,"парк Глухий міст, буд. 9 кв. 05, Середина-Буда, 41894",383 83 64,vdovychenkoalbert@example.net
Дейсун,Аліна,Євгенівна,Жінка,1999-04-21,Прокурор,місто Вашківці,"площа Херсонський сквер, буд. 4, Ямпіль, 46645",+380 90 054-78-89,babkotereza@example.org
Данько,Аніта,Олександрівна,Жінка,1939-02-08,Живописець,місто Соснівка ,"площа Онілової, буд. 36, Монастирище, 93121",+380 (69) 268-45-20,oleksandr03@example.net
Гупало,Вікторія,Михайлівна,Жінка,1973-12-17,Пілот,хутір Підгайці,"сквер Мариністів, буд. 6, Голубівка, 89407",+380 (59) 298-82-36,havryliukroksolana@example.com
Дзюба,Вікторія,Степанівна,Жінка,1951-03-12,Економіст,місто Новоселиця,"площа Аеропортівський 5-й, буд. 857 кв. 26, Вознесенівка, 86003",+380 64 495-08-50,nestor42@example.com
Копитко,Геннадій,Васильович,Чоловік,1988-12-16,Промисловець,село Роздільна,"провулок Балківська, буд. 658, Луцьк, 01069",000 128-13-12,isaievychiosyp@example.com
Товстуха,Демид,Георгійович,Чоловік,1983-09-28,Детектив,місто Хотин,"площа Аеропортівський 5-й, буд. 0, Шепетівка, 45455",279 94 66,marynailchenko@example.net
Терещук,Йосип,Романович,Чоловік,1968-02-17,Кінокритик,село Сновськ,"проспект Лінія 54-та, буд. 96 кв. 26, Бобровиця, 90390",+380 42 234-78-77,nhres@example.com
Акуленко,Миколай,Георгійович,Чоловік,1979-09-14,Фрілансер,селище Кремінна,"набережна Чорноморський 10-й, буд. 4 кв. 54, Березань , 64538",764 07 18,redkodavyd@example.org
Власенко,Лілія,Андріївна,Жінка,1979-09-29,Музикознавець,селище Вилкове,"набережна Амурський 3-й, буд. 83, Одеса, 30263",558-46-62,symonenkonadiia@example.org
Христич,Тереза,Сергіївна,Жінка,1950-07-18,Гірник,місто Рівне,"вулиця Дежньова, буд. 9 кв. 50, Славутич, 17699",080 255-37-84,masliakivan@example.com
Проценко,Юстина,Дмитрівна,Жінка,1986-04-05,Дипломат,хутір Рожище,"проспект Шахтинський, буд. 031 кв. 594, Городня, 46045",+380 40 012 63 96,upoltavets@example.com
Пелех,Гліб,Олегович,Чоловік,1953-04-17,Лікар,хутір Хрустальний,"парк Різовська, буд. 645 кв. 21, Городище , 88840",079 627-36-16,anastasiiaaleksiuk@example.org
Рубець,Василина,Василівна,Жінка,1945-09-25,Архітектор,місто Кремінна,"провулок Калнишевського Петра, буд. 860, Новоазовськ, 32288",+380 38 541-40-54,uiushchenko@example.com
Бабариченко,Прохір,Тарасович,Чоловік,1954-01-15,Філолог,селище Дебальцеве,"площа Кільцева, буд. 92, Черкаси, 14374",+380 26 224-40-39,viacheslavfranchuk@example.org
Гаврюшенко,Віра,Михайлівна,Жінка,1987-07-27,Географ,село Дрогобич,"сквер Левкоєва, буд. 6 кв. 4, Біляївка, 22140",322 66 57,susyk@example.net
Приймак,Аврелій,Петрович,Чоловік,1991-07-17,Патологоанатом,село Татарбунари,"шосе Український 1-й, буд. 032, Молочанськ, 18021",895-30-80,xhuz@example.org
Сиротенко,Наталія,Євгенівна,Жінка,1983-08-17,Диригент,селище Угнів,"вулиця Лип Івана та Юрія, буд. 56 кв. 74, Зеленодольськ, 59297",+380 (85) 750-91-30,klyment69@example.org
Негода,Валентина,Миколаївна,Жінка,1939-11-11,Мікробіолог,хутір Саки ,"проспект Адміральський, буд. 736, Березань , 10263",+380 (17) 059-02-32,sviatoslav60@example.net
Вівчаренко,Назар,Миколайович,Чоловік,1972-04-30,Актор,хутір Новий Калинів,"вулиця Іванова 1-й, буд. 86 кв. 1, Новий Буг, 67201",+380 74 601-52-93,boleslav38@example.net
Дутка,Павло,Максимович,Чоловік,1980-09-12,Електромонтер,місто Старокостянтинів,"проспект Верф’яний, буд. 8, Сніжне, 61143",099 794-85-65,prokhirieresko@example.net
Міщенко,Тетяна,Степанівна,Жінка,1976-02-25,Епідеміолог,хутір Славутич,"узвіз Віцеадмірала Азарова, буд. 3 кв. 389, Вилкове, 76052",+380 (32) 041-03-60,jandriishyna@example.org
Цимбал,Дарина,Степанівна,Жінка,2003-02-14,Ріелтор,місто Нікополь,"парк Жасминна, буд. 43 кв. 56, Вишгород, 64875",662-24-57,irynaandriievych@example.net
Василечко,Тереза,Михайлівна,Жінка,1940-04-16,Філолог,село Чорнобиль,"набережна Лиманчик 2-й Лінія 2-га, буд. 728 кв. 2, Чернівці, 29824",006 628 62 78,shchorsrozaliia@example.net
Єрьоменко,Демид,Петрович,Чоловік,1980-08-29,Музикознавець,хутір Святогірськ,"сквер 8-ма Суворовська, буд. 87, Гола Пристань, 12103",066 575-37-13,ostap71@example.net
Пушкар,Максим,Петрович,Чоловік,1959-06-25,Водій,місто Охтирка,"площа Терещенка Володимира, буд. 4, Герца, 90202",074 528-26-41,valentynashovkoplias@example.com
Тесленко,Едуард,Григорович,Чоловік,1957-08-07,Піаніст,місто Нова Каховка,"набережна Обсерваторний, буд. 09 кв. 0, Березівка, 91411",+380 85 307 47 47,viktormykytiuk@example.net
Чалий,Макар,Миколайович,Чоловік,1963-05-31,Вчитель,селище Моршин,"сквер Бокаріуса Миколи, буд. 93 кв. 6, Щолкіне, 76569",+380 02 547-18-59,iustymkabaliuk@example.org
Юхименко,Устим,Петрович,Чоловік,1956-04-18,Фольклорист,селище Чуднів,"парк Іванова Ігоря, буд. 71, Новогродівка, 42498",+380 53 842 12 12,jdankiv@example.com
Ірванець,Василь,Олегович,Чоловік,1943-02-16,Перекладач,село Підгайці,"узвіз Бірюкова, буд. 75, Стрий, 81697",064 886 16 06,oksanabaranets@example.com
Артим,Олекса,Євгенович,Чоловік,2002-08-25,М'ясник,місто Голубівка,"набережна Майстерний, буд. 45, Святогірськ, 88197",077 433-00-92,oksanakanivets@example.org
Данько,Віктор,Георгійович,Чоловік,1940-12-14,Кінорежисер,селище Первомайський ,"набережна Ярморочна площа, буд. 9, Кипуче, 15541",064 375 20 50,nadiiaavramchuk@example.org
Кармалюк,Юхим,Георгійович,Чоловік,1979-05-30,Програміст,село Знам'янка,"узвіз Марії Демченко 2-й, буд. 16, Бориспіль, 31047",094 974-68-11,lutsenkoheorhii@example.net
Артюх,Богодар,Михайлович,Чоловік,1992-07-14,Сценарист,місто Ніжин,"шосе Кипарисний 3-й, буд. 49 кв. 550, Дружба , 39226",+380 39 010-70-16,ezinchenko@example.org
Дейнеко,Камілла,Сергіївна,Жінка,1948-05-27,Стропальник,село Пустомити,"вулиця Тінистий, буд. 38, Дергачі, 11896",+380 92 144-72-46,huziilukian@example.com
Ващенко-Захарченко,Алевтин,Петрович,Чоловік,1984-09-01,Зоолог,місто Дунаївці,"сквер Спартаківський, буд. 0, Яворів, 16316",+380 27 610-68-39,tymchenkoanzhela@example.net
Чайка,Дан,Васильович,Чоловік,1960-05-16,Співак,село Заводське,"узвіз Восьмого березня узвіз, буд. 8 кв. 87, Кальміуське, 52273",+380 03 635-51-19,amaliia64@example.org
Журавель,Єва,Михайлівна,Жінка,2002-04-21,Каскадер,хутір Жидачів,"узвіз Саксаганського, буд. 3 кв. 393, Василівка , 05968",059-33-40,sofiia41@example.org
Голобородько,Юстина,Григорівна,Жінка,1967-12-21,Диригент,хутір Рогатин,"сквер Восьмого Березня Лінія 1-ша, буд. 5, Білгород-Дністровський, 15525",+380 54 846-67-31,wzinkevych@example.com
Давимука,Ростислав,Миколайович,Чоловік,1949-09-19,Слідчий,село Винники,"парк Героїв Небесної Сотні, буд. 840 кв. 225, Лохвиця, 22875",019 549 34 43,ivan33@example.com
Ющенко,Спас,Тарасович,Чоловік,1969-09-17,М'ясник,селище Мар'їнка,"набережна Молодіжна, буд. 9 кв. 05, Кам'янське, 66174",994 25 04,lesykalla@example.org
Артимович,Артем,Васильович,Чоловік,1963-05-12,Менеджер,хутір Горлівка,"парк Польова, буд. 273 кв. 75, Кропивницький, 09296",333 68 01,petrenkoroman@example.com
Дейсун,Мирон,Григорович,Чоловік,1956-03-08,Художник,місто Хорол ,"набережна Майстерний, буд. 56 кв. 761, Лохвиця, 74781",797-50-65,jdemydenko@example.org
Царенко,Пантелеймон,Володимирович,Чоловік,1971-06-15,Водій,селище Енергодар,"набережна Лузанівський 2-й, буд. 33, Новомиргород, 29136",+380 (31) 371-62-76,bohdanna70@example.org
Рубан,Марʼяна,Романівна,Жінка,1947-05-03,Ботанік,хутір Пологи ,"парк Леонова, буд. 0 кв. 5, Костянтинівка, 41213",501 25 66,bandurasvitlana@example.net
Дейнеко,Устим,Олегович,Чоловік,1981-09-17,Єгер,хутір Бердянськ,"узвіз Одеська, буд. 73 кв. 534, Євпаторія, 67086",879 75 82,zdemianiuk@example.org
Вертипорох,Петро,Володимирович,Чоловік,1954-08-18,Педагог,місто Кремінна,"набережна Черкаська, буд. 651 кв. 1, Буськ, 40674",053 897-52-10,iefremprytula@example.com
Мазепа,Пилип,Васильович,Чоловік,1997-04-21,Модель,хутір Зміїв,"площа Естонська, буд. 8 кв. 07, Вознесенськ, 30658",+380 43 227-22-16,hryhorii21@example.net
Чаленко,Августин,Дмитрович,Чоловік,1986-02-01,Дипломат,хутір Костопіль,"вулиця ім. С.Ю. Вітте, буд. 662 кв. 81, Білогірськ, 36569",+380 84 022-00-10,aleksiichuksvitlana@example.com
Журба,Леон,Романович,Чоловік,1943-08-12,Астронавт,хутір Фастів,"шосе Студентський 4-й, буд. 531 кв. 01, Полтава, 63678",+380 15 546-13-01,symon03@example.org
Гаврилець,Едита,Олегівна,Жінка,1944-01-23,Соціолог,село Тульчин,"сквер Собінова, буд. 15 кв. 5, Тараща, 87004",+380 62 322-57-20,kdurdynets@example.net
Малишко,Герман,Романович,Чоловік,1942-01-07,Доцент,село Луцьк,"сквер Стамбульський, буд. 55, Вознесенськ, 74047",243-42-62,oryna13@example.org
Журавель,Микита,Іванович,Чоловік,1970-01-01,Фотограф,село Дергачі,"сквер Володі Дубініна, буд. 319 кв. 14, Боярка, 75319",+380 83 672-59-50,zharkopriska@example.com
Вертипорох,Орина,Максимівна,Жінка,1949-12-16,Правник,хутір Кременчук,"проспект Бориса Дерев'янка, буд. 938 кв. 9, Березівка, 75019",092 066 34 78,isaienkoliubov@example.org
Зайченко,Веніямин,Борисович,Чоловік,1992-08-10,Науковець,хутір Біла Церква,"набережна Скидановська, буд. 736, Бахчисарай, 52417",+380 48 148-09-40,bashpolchenkoarkadii@example.com
Овчаренко,Ірина,Борисівна,Жінка,1997-06-08,Державний службовець,хутір Черкаси,"провулок Бучми, буд. 9 кв. 2, Миргород, 31628",+380 (89) 072-23-97,fizhak@example.net
Демʼянюк,Світлана,Тарасівна,Жінка,1964-07-29,Публіцист,місто Горішні Плавні,"набережна Бугаївська, буд. 368 кв. 56, Камінь-Каширський, 65825",+380 81 065-74-07,oleksa48@example.com
Оберемко,Олег,Тарасович,Чоловік,1965-07-26,Правник,селище Бар,"вулиця Тиха, буд. 28 кв. 040, Олександрівськ, 26033",163 89 03,syrotenkoherman@example.net
Бакуменко,Гаврило,Михайлович,Чоловік,1998-11-02,Провізор,селище Ворожба,"вулиця Інтернаціональний, буд. 091 кв. 09, Снігурівка, 11639",+380 53 804-37-37,mhohol@example.net
Лаба,Леонтій,Михайлович,Чоловік,1980-11-30,Музикант,місто Українка ,"провулок Тіниста, буд. 50, Хмільник, 95954",+380 98 578 35 39,mykyta63@example.net
Гавриш,Ярослава,Григорівна,Жінка,2005-06-06,Головний меркшейдер,хутір Корсунь-Шевченківський,"набережна Абрикосова, буд. 167, Білопілля, 28235",+380 05 310-83-34,csych@example.com
Вахній,Захар,Григорович,Чоловік,1941-09-19,Фольклорист,місто Луцьк,"сквер Басейний 3-й, буд. 6, Курахове, 51222",+380 53 252-12-79,galaganvasylyna@example.org
Фоменко,Мирон,Максимович,Чоловік,1949-07-11,Художник,місто Рава-Руська,"шосе Іванова 2-й, буд. 6, Броди, 65868",+380 58 330-18-70,vadym78@example.net
Цимбалюк,Ада,Євгенівна,Жінка,2001-03-10,Мовознавець,місто Чуднів,"узвіз Восьмого березня узвіз, буд. 052, Суми, 63841",+380 84 432 76 18,prokhirsymonenko@example.net
Кальченко,Хома,Георгійович,Чоловік,1974-09-08,Гірник,селище Сокиряни,"сквер Шкільний аеродром, буд. 720, Люботин, 54271",+380 29 295 00 38,kyrylo82@example.net
Гузенко,Пантелеймон,Васильович,Чоловік,2004-08-20,Стиліст,село Ромни,"сквер Пресича Олександра, буд. 424 кв. 208, Мирноград, 16791",090 621 52 61,chaikamakar@example.org
Непорожній,Хома,Григорович,Чоловік,1973-12-22,Філолог,хутір Тлумач,"сквер Аполона Скальковського, буд. 08, Знам'янка, 97370",+380 (90) 143-52-81,kanivetsleopold@example.net
Шинкаренко,Єлисавета,Павлівна,Жінка,1971-03-23,Пекар,хутір Бердянськ,"проспект Інтернаціональний, буд. 260, Кам'янське, 52649",322-73-69,edytadevdiuk@example.com
Червоненко,Сергій,Борисович,Чоловік,1992-05-06,Хімік,село Липовець,"парк Мостовий, буд. 65 кв. 335, Борзна, 03298",837-26-42,iereskodaryna@example.com
Макаренко,Панас,Романович,Чоловік,1999-08-22,Фермер,селище Луганськ,"провулок Першотравневий 3-й, буд. 392, Золоте, 91698",+380 (29) 053-69-23,batiukarkadii@example.org
Литвиненко,Аліна,Георгіївна,Жінка,1989-05-28,Державний службовець,селище Мар'їнка,"провулок Злакова, буд. 239 кв. 164, Синельникове, 61625",535 11 72,hryhorii57@example.net
Свириденко,Юхим,Євгенович,Чоловік,1970-01-31,Доцент,хутір Южне,"площа Василя Симоненка, буд. 4 кв. 96, Путивль, 82479",195-85-07,eduard73@example.org
Андрусенко,Лариса,Андріївна,Жінка,1985-08-02,Журналіст,хутір Одеса,"площа Пересипська 10-та, буд. 3 кв. 222, Деражня, 65444",068 616 41 65,andriivoblyi@example.org
Власюк,Дан,Максимович,Чоловік,1964-08-24,Продюсер,селище Апостолове,"сквер Левітана, буд. 42 кв. 1, Кременчук, 53287",032 205-02-00,panchukdmytro@example.net
Валенко,Пантелеймон,Романович,Чоловік,1951-01-30,Промисловець,селище Гірське,"сквер Четверта, буд. 0, Моршин, 73085",+380 02 900-13-49,olhafastenko@example.net
Проценко,Стефан,Сергійович,Чоловік,1976-08-05,Електрослюсар,місто Тячів,"проспект Політкаторжан, буд. 921 кв. 846, Монастирище, 91481",+380 33 086-99-21,iryna81@example.org
Гаврилишин,Вадим,Степанович,Чоловік,2008-01-19,Зоолог,хутір Шахтарськ,"узвіз Західний 2-й, буд. 071 кв. 77, Батурин, 98766",+380 94 875-85-60,stepanderehus@example.net
Вітрук,Оксана,Сергіївна,Жінка,1961-10-24,Астроном,село Старокостянтинів,"парк Садовий, буд. 645, Богуслав, 14066",076 887-85-88,sgereta@example.org
Цибуленко,Азар,Олександрович,Чоловік,1978-12-19,Гицель,місто Білогірськ,"сквер Саксаганського, буд. 490, Щолкіне, 74552",083 390-89-59,tshevchenko@example.com
Бабʼяк,Богодар,Павлович,Чоловік,1992-04-22,Ювелір,село Джанкой,"провулок Савранська, буд. 8 кв. 336, Підгайці, 70425",+380 11 248-87-75,paliilevko@example.org
Алексійчук,Орися,Олегівна,Жінка,2004-08-01,Детектив,селище Тернівка ,"шосе Лідерсівський, буд. 5 кв. 00, Фастів, 66593",883-33-83,aaronsomko@example.org
Алексійчук,Мілена,Олександрівна,Жінка,1943-08-14,Мірошник,хутір Старокостянтинів,"вулиця Дунайська, буд. 66 кв. 4, Краматорськ, 93099",+380 (24) 782-96-42,rkhrystych@example.net
Юрчук,Лесь,Степанович,Чоловік,1942-05-30,Музичний редактор,селище Кременчук,"вулиця Сонячна, буд. 9 кв. 2, Миколаїв, 17924",354 89 03,xchaban@example.net
Жайворон,Марʼяна,Максимівна,Жінка,1978-07-17,Скульптор,хутір Чорноморськ,"провулок Пілотна, буд. 6, Рожище, 61313",+380 40 685-92-76,sarkhypenko@example.org
Романець,Клавдія,Борисівна,Жінка,2007-01-31,Соціолог,місто Кальміуське,"узвіз Композитора Ніщинського, буд. 19, Черкаси, 92945",+380 69 709-74-59,lshmorhun@example.net
Карась,Василина,Михайлівна,Жінка,1973-09-25,Дерун,село Коростишів,"сквер Флотський 2-й, буд. 605, Прип'ять , 21443",+380 22 811 48 39,tsiutsiurafedir@example.net
Сірченко,Богуслав,Олегович,Чоловік,1943-03-11,Режисер,селище Часів Яр,"провулок Північна, буд. 53, Нововолинськ, 82295",073 935-87-98,iurchyshynstefan@example.net
Єременко,Василь,Сергійович,Чоловік,1972-05-25,Дантист,місто Тростянець,"шосе Академіка Вільямса, буд. 78 кв. 24, Луганськ, 92235",+380 87 962 53 09,nazarvovk@example.com
Данилюк,Назар,Миколайович,Чоловік,1999-02-13,Перекладач,місто Докучаєвськ,"узвіз Курганська, буд. 78, Перевальськ, 53369",675 73 43,borys77@example.com
Вишняк,Аліна,Євгенівна,Жінка,1995-04-04,Кіноактор,село Шаргород,"проспект Орловська, буд. 60 кв. 7, Вашківці, 54903",+380 39 702-54-47,arkadiiriabovil@example.net
Лавренко,Панас,Максимович,Чоловік,1959-09-07,Кіноактор,село Хмельницький,"набережна Красива, буд. 707 кв. 293, Карлівка, 81807",634-23-97,ivan04@example.net
Корпанюк,Климент,Євгенович,Чоловік,1939-11-12,Прокурор,місто Сулимівка (Слов'янськ),"сквер Болгарська, буд. 787, Красногорівка, 45018",+380 06 178-41-53,qhaivoronska@example.com
Іваненко,Олег,Тарасович,Чоловік,1949-03-03,Громадський діяч,селище Новоазовськ,"площа Дачний 2-й, буд. 1, Моршин, 27704",045 718 82 58,viacheslavorlyk@example.net
Чуйко,Костянтин,Дмитрович,Чоловік,1946-01-18,Стиліст,селище Мерефа,"проспект Перемоги, буд. 614, Дунаївці, 55413",008 939-75-43,hvasylechko@example.net
Дробʼязко,Макар,Романович,Чоловік,1970-07-25,Етнограф,село Яремче,"вулиця Ольгіївський узвіз, буд. 5 кв. 3, Броди, 52525",+380 70 478-19-44,nshcherban@example.net
Гайдамака,Тетяна,Михайлівна,Жінка,1950-05-19,Ветеринар,місто Костопіль,"парк Садова 5-та, буд. 66 кв. 226, Сіверськ, 41277",047 022 41 55,adam12@example.com
Килимник,Вадим,Петрович,Чоловік,1981-12-24,Живописець,селище Білопілля,"парк Петрашевського, буд. 151, Кам'янка-Бузька, 62106",+380 (15) 153-64-80,emiliiababiuk@example.net
Вишивана,Богданна,Борисівна,Жінка,2006-06-28,Кухар,хутір Святогірськ,"вулиця Горіхова, буд. 60, Харцизьк, 91765",050 569 73 12,mariiaavramenko@example.org
Ісаєвич,Анастасія,Олександрівна,Жінка,1992-12-18,Намотувальник,хутір Черкаси,"набережна Деревообробний 3-й, буд. 4 кв. 55, Оріхів, 40389",025-99-91,lukian35@example.net
Гузенко,Анжела,Миколаївна,Жінка,1990-01-25,Парфюмер,селище Березівка,"сквер Ювілейний 1-й, буд. 1 кв. 50, Хуст, 38250",070 013-45-98,svitlanakarmaliuk@example.org
Вергун,Іван,Миколайович,Чоловік,2004-01-12,Патологоанатом,хутір Рубіжне,"вулиця Отамана Головатого, буд. 2, Чоп, 81792",052 480-53-31,illiachumak@example.org
Базавлученко,Максим,Михайлович,Чоловік,1994-09-27,Ювелір,село Таврійськ,"площа Кутова, буд. 08, Львів, 61231",+380 37 264-64-69,heorhii17@example.org
